strain	aligned_row	date	conc	embryoID	channel	intensity	normalized_intensity
wNT002	163	220914	0uM	09	ch2	3738.0544	0.662299830726604
wNT002	164	220914	0uM	09	ch2	3832.0549	0.678954621849552
wNT002	165	220914	0uM	09	ch2	3945.9587	0.699135833620872
wNT002	166	220914	0uM	09	ch2	3967.3894	0.702932875467656
wNT002	-166	220914	0uM	09	ch1	3282.4287	1.03693424843037
wNT002	-165	220914	0uM	09	ch1	3204.0681	1.01217977627152
wNT002	-164	220914	0uM	09	ch1	3141.3899	0.992379446043488
wNT002	-163	220914	0uM	09	ch1	3096.093	0.978069948031323
wNT002	-162	220914	0uM	09	ch1	3082.9082	0.973904809370823
wNT002	-161	220914	0uM	09	ch1	3110.7231	0.982691663576267
wNT002	-160	220914	0uM	09	ch1	3156.0293	0.997004099500994
wNT002	-159	220914	0uM	09	ch1	3181.28	1.00498091119133
wNT002	-158	220914	0uM	09	ch1	3220.1921	1.01727342166333
wNT002	-157	220914	0uM	09	ch1	3241.4104	1.0239763797393
wNT002	-156	220914	0uM	09	ch1	3226.4346	1.01924545598225
wNT002	-155	220914	0uM	09	ch1	3212.4138	1.01481622109578
wNT002	-154	220914	0uM	09	ch1	3213.135	1.01504405147637
wNT002	-153	220914	0uM	09	ch1	3223.6663	1.01837093734307
wNT002	-152	220914	0uM	09	ch1	3193.6482	1.00888808217464
wNT002	-151	220914	0uM	09	ch1	3130.459	0.988926324708007
wNT002	-150	220914	0uM	09	ch1	3066.2942	0.96865637073652
wNT002	-149	220914	0uM	09	ch1	3025.1299	0.955652379977281
wNT002	-148	220914	0uM	09	ch1	3011.3398	0.951296024276614
wNT002	-147	220914	0uM	09	ch1	2996.7258	0.946679394795351
wNT002	-146	220914	0uM	09	ch1	2985.9749	0.943283136283643
wNT002	-145	220914	0uM	09	ch1	2964.3347	0.936446898066837
wNT002	-144	220914	0uM	09	ch1	2974.1599	0.93955072371206
wNT002	-143	220914	0uM	09	ch1	2995.0935	0.946163743755098
wNT002	-142	220914	0uM	09	ch1	3005.7107	0.949517765824925
wNT002	-141	220914	0uM	09	ch1	3017.6738	0.953296963864291
wNT002	-140	220914	0uM	09	ch1	3026.3474	0.956036993799194
wNT002	-139	220914	0uM	09	ch1	2999.2493	0.947476579994199
wNT002	-138	220914	0uM	09	ch1	2987.0566	0.943624850264065
wNT002	-137	220914	0uM	09	ch1	2991.9639	0.945175088792421
wNT002	-136	220914	0uM	09	ch1	3061.3018	0.967079248728703
wNT002	-135	220914	0uM	09	ch1	3107.272	0.981601445292239
wNT002	-134	220914	0uM	09	ch1	3138.093	0.99133794024516
wNT002	-133	220914	0uM	09	ch1	3149.0085	0.994786196650163
wNT002	-132	220914	0uM	09	ch1	3153.1008	0.996078972948656
wNT002	-131	220914	0uM	09	ch1	3179.7969	1.00451239311389
wNT002	-130	220914	0uM	09	ch1	3245.387	1.02523260587829
wNT002	-129	220914	0uM	09	ch1	3257.0161	1.0289062917891
wNT002	-128	220914	0uM	09	ch1	3184.7798	1.00608651402823
wNT002	-127	220914	0uM	09	ch1	3105.0356	0.98089495629731
wNT002	-126	220914	0uM	09	ch1	3037.1353	0.959444940780234
wNT002	-125	220914	0uM	09	ch1	3018.6062	0.953591513291438
wNT002	-124	220914	0uM	09	ch1	3023.0884	0.955007460784316
wNT002	-123	220914	0uM	09	ch1	3032.2988	0.957917068295895
wNT002	-122	220914	0uM	09	ch1	3061.1355	0.967026713797627
wNT002	-121	220914	0uM	09	ch1	3107.1863	0.981574372270031
wNT002	-120	220914	0uM	09	ch1	3189.9243	1.00771168512214
wNT002	-119	220914	0uM	09	ch1	3331.1357	1.05232101263892
wNT002	-118	220914	0uM	09	ch1	3456.6367	1.09196735289675
wNT002	-117	220914	0uM	09	ch1	3481.8237	1.09992404146556
wNT002	-116	220914	0uM	09	ch1	3429.8643	1.08350982921233
wNT002	-115	220914	0uM	09	ch1	3317.5674	1.04803472457333
wNT002	-114	220914	0uM	09	ch1	3217.4126	1.01639536489289
wNT002	-113	220914	0uM	09	ch1	3173.438	1.00250358750226
wNT002	-112	220914	0uM	09	ch1	3185.2581	1.00623761118718
wNT002	-111	220914	0uM	09	ch1	3282.5969	1.03698738358014
wNT002	-110	220914	0uM	09	ch1	3407.3379	1.07639363635981
wNT002	-109	220914	0uM	09	ch1	3461.0393	1.09335815438534
wNT002	-108	220914	0uM	09	ch1	3433.8311	1.08476295948647
wNT002	-107	220914	0uM	09	ch1	3391.1689	1.07128577526206
wNT002	-106	220914	0uM	09	ch1	3346.1294	1.05705759108789
wNT002	-105	220914	0uM	09	ch1	3346.1128	1.05705234707192
wNT002	-104	220914	0uM	09	ch1	3410.6699	1.07744623040878
wNT002	-103	220914	0uM	09	ch1	3485.5837	1.10111184267327
wNT002	-102	220914	0uM	09	ch1	3509.5256	1.10867519845386
wNT002	-101	220914	0uM	09	ch1	3516.0244	1.11072819911574
wNT002	-100	220914	0uM	09	ch1	3559.1562	1.12435373212929
